Email Subject,Email Body,Time Sent,Response Time,Level,Engagement score
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-03-18 03:35:00,2023-03-18 08:35:00,Hot,80
Project Update,Attached is the monthly report. Please review it and share feedback.,2023-12-06 09:21:00,2023-12-06 17:21:00,High,63
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-10-16 09:38:00,2023-10-16 16:38:00,High,100
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-01-01 04:40:00,2023-01-01 16:40:00,High,83
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-17 19:28:00,2023-11-20 05:28:00,Cold,52
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-02-01 20:00:00,2023-02-02 05:00:00,High,97
Meeting Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-30 17:43:00,2023-09-30 21:43:00,Hot,62
Project Update,We would appreciate your feedback on our recent collaboration.,2023-04-01 16:51:00,2023-04-01 18:51:00,Hot,100
Meeting Request,Join our upcoming webinar on industry trends. Register now!,2023-06-30 17:56:00,2023-07-03 02:56:00,Cold,12
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-01-10 01:28:00,2023-01-10 11:28:00,High,85
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-12-07 14:24:00,2023-12-09 19:24:00,Cold,93
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-06-08 18:57:00,2023-06-08 23:57:00,Hot,75
Follow Up,"Hello, we would like to schedule a meeting to discuss your needs.",2023-12-18 14:59:00,2023-12-19 02:59:00,High,71
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-10-30 08:11:00,2023-10-31 12:11:00,Cold,15
Monthly Report,Check out our latest product offerings that might interest you.,2023-05-22 13:59:00,2023-05-23 22:59:00,Cold,28
Follow Up,Don't miss out on our special discount offers this week!,2023-10-01 05:03:00,2023-10-01 06:03:00,Hot,67
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-05-02 20:01:00,2023-05-02 23:01:00,Hot,86
Product Offering,Don't miss out on our special discount offers this week!,2023-10-09 11:14:00,2023-10-09 16:14:00,Hot,81
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-08-04 06:13:00,2023-08-04 12:13:00,High,88
Meeting Request,Join our upcoming webinar on industry trends. Register now!,2023-04-01 03:45:00,2023-04-03 10:45:00,Cold,81
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-03-24 17:09:00,2023-03-24 19:09:00,Hot,63
Partnership Proposal,Your contract renewal is coming up. Let's schedule a discussion.,2023-12-22 00:10:00,2023-12-23 12:10:00,Cold,77
Special Offer,"Hello, we would like to schedule a meeting to discuss your needs.",2023-04-05 20:03:00,2023-04-08 19:03:00,Cold,22
Partnership Proposal,Your contract renewal is coming up. Let's schedule a discussion.,2023-09-16 21:44:00,2023-09-18 23:44:00,Cold,10
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-08-31 04:47:00,2023-08-31 07:47:00,Hot,79
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-12-03 11:02:00,2023-12-03 15:02:00,Hot,94
Project Update,We would appreciate your feedback on our recent collaboration.,2023-09-12 12:58:00,2023-09-12 19:58:00,High,93
Special Offer,Don't miss out on our special discount offers this week!,2023-06-29 20:22:00,2023-06-30 02:22:00,High,86
Feedback Request,Don't miss out on our special discount offers this week!,2023-01-27 08:51:00,2023-01-27 09:51:00,Hot,94
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-05-01 23:41:00,2023-05-02 09:41:00,High,94
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-07-17 06:02:00,2023-07-17 18:02:00,High,78
Meeting Request,Don't miss out on our special discount offers this week!,2023-06-22 21:36:00,2023-06-23 05:36:00,High,86
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-04-24 06:49:00,2023-04-24 14:49:00,High,98
Feedback Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-05-29 17:58:00,2023-05-31 02:58:00,Cold,68
Special Offer,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-16 14:42:00,2023-03-17 16:42:00,Cold,75
